period,respondent,respondent-name,type,type-name,value,value-units
2024-12-31T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50098,megawatthours
2024-12-30T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50334,megawatthours
2024-12-30T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50245,megawatthours
2024-12-30T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49602,megawatthours
2024-12-30T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48595,megawatthours
2024-12-30T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47576,megawatthours
2024-12-30T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46819,megawatthours
2024-12-30T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46432,megawatthours
2024-12-30T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46344,megawatthours
2024-12-30T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46119,megawatthours
2024-12-30T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45612,megawatthours
2024-12-30T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44129,megawatthours
2024-12-30T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42048,megawatthours
2024-12-30T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40425,megawatthours
2024-12-30T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39836,megawatthours
2024-12-30T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39831,megawatthours
2024-12-30T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40339,megawatthours
2024-12-30T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41265,megawatthours
2024-12-30T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42711,megawatthours
2024-12-30T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44163,megawatthours
2024-12-30T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45410,megawatthours
2024-12-30T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46136,megawatthours
2024-12-30T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46909,megawatthours
2024-12-30T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47479,megawatthours
2024-12-30T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46485,megawatthours
2024-12-29T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45415,megawatthours
2024-12-29T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45021,megawatthours
2024-12-29T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44448,megawatthours
2024-12-29T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43906,megawatthours
2024-12-29T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43577,megawatthours
2024-12-29T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43520,megawatthours
2024-12-29T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43591,megawatthours
2024-12-29T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43628,megawatthours
2024-12-29T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43246,megawatthours
2024-12-29T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42215,megawatthours
2024-12-29T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41064,megawatthours
2024-12-29T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40170,megawatthours
2024-12-29T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39585,megawatthours
2024-12-29T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39483,megawatthours
2024-12-29T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39855,megawatthours
2024-12-29T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40382,megawatthours
2024-12-29T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41429,megawatthours
2024-12-29T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42801,megawatthours
2024-12-29T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44440,megawatthours
2024-12-29T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45980,megawatthours
2024-12-29T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46982,megawatthours
2024-12-29T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47744,megawatthours
2024-12-29T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48592,megawatthours
2024-12-29T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48281,megawatthours
2024-12-28T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48260,megawatthours
2024-12-28T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48342,megawatthours
2024-12-28T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48305,megawatthours
2024-12-28T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48243,megawatthours
2024-12-28T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48427,megawatthours
2024-12-28T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48175,megawatthours
2024-12-28T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47029,megawatthours
2024-12-28T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45503,megawatthours
2024-12-28T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43557,megawatthours
2024-12-28T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42203,megawatthours
2024-12-28T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41317,megawatthours
2024-12-28T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40515,megawatthours
2024-12-28T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40011,megawatthours
2024-12-28T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40125,megawatthours
2024-12-28T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40503,megawatthours
2024-12-28T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41328,megawatthours
2024-12-28T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42433,megawatthours
2024-12-28T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43890,megawatthours
2024-12-28T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45341,megawatthours
2024-12-28T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46646,megawatthours
2024-12-28T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47562,megawatthours
2024-12-28T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48280,megawatthours
2024-12-28T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49131,megawatthours
2024-12-28T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48376,megawatthours
2024-12-27T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48085,megawatthours
2024-12-27T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48016,megawatthours
2024-12-27T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47693,megawatthours
2024-12-27T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47230,megawatthours
2024-12-27T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46730,megawatthours
2024-12-27T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46597,megawatthours
2024-12-27T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46865,megawatthours
2024-12-27T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47055,megawatthours
2024-12-27T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46990,megawatthours
2024-12-27T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46195,megawatthours
2024-12-27T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44632,megawatthours
2024-12-27T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42638,megawatthours
2024-12-27T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41106,megawatthours
2024-12-27T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40594,megawatthours
2024-12-27T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40662,megawatthours
2024-12-27T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41237,megawatthours
2024-12-27T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42292,megawatthours
2024-12-27T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43907,megawatthours
2024-12-27T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45645,megawatthours
2024-12-27T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47082,megawatthours
2024-12-27T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47977,megawatthours
2024-12-27T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48415,megawatthours
2024-12-27T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48819,megawatthours
2024-12-27T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48475,megawatthours
2024-12-26T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48288,megawatthours
2024-12-26T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48138,megawatthours
2024-12-26T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48046,megawatthours
2024-12-26T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48387,megawatthours
2024-12-26T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48569,megawatthours
2024-12-26T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48274,megawatthours
2024-12-26T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47320,megawatthours
2024-12-26T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45876,megawatthours
2024-12-26T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43455,megawatthours
2024-12-26T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42648,megawatthours
2024-12-26T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41702,megawatthours
2024-12-26T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40233,megawatthours
2024-12-26T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39065,megawatthours
2024-12-26T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38578,megawatthours
2024-12-26T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38733,megawatthours
2024-12-26T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39376,megawatthours
2024-12-26T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40297,megawatthours
2024-12-26T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41538,megawatthours
2024-12-26T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42914,megawatthours
2024-12-26T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43911,megawatthours
2024-12-26T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44526,megawatthours
2024-12-26T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45021,megawatthours
2024-12-26T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45534,megawatthours
2024-12-26T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45105,megawatthours
2024-12-25T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44150,megawatthours
2024-12-25T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44054,megawatthours
2024-12-25T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44237,megawatthours
2024-12-25T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44613,megawatthours
2024-12-25T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44940,megawatthours
2024-12-25T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44438,megawatthours
2024-12-25T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44336,megawatthours
2024-12-25T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43438,megawatthours
2024-12-25T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41940,megawatthours
2024-12-25T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40377,megawatthours
2024-12-25T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39399,megawatthours
2024-12-25T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38498,megawatthours
2024-12-25T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38229,megawatthours
2024-12-25T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38261,megawatthours
2024-12-25T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38905,megawatthours
2024-12-25T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39686,megawatthours
2024-12-25T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40740,megawatthours
2024-12-25T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41795,megawatthours
2024-12-25T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43270,megawatthours
2024-12-25T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44391,megawatthours
2024-12-25T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45378,megawatthours
2024-12-25T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46577,megawatthours
2024-12-25T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48047,megawatthours
2024-12-25T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48623,megawatthours
2024-12-24T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48410,megawatthours
2024-12-24T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48547,megawatthours
2024-12-24T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48585,megawatthours
2024-12-24T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48441,megawatthours
2024-12-24T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47989,megawatthours
2024-12-24T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47511,megawatthours
2024-12-24T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46724,megawatthours
2024-12-24T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45378,megawatthours
2024-12-24T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43766,megawatthours
2024-12-24T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42342,megawatthours
2024-12-24T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41224,megawatthours
2024-12-24T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39985,megawatthours
2024-12-24T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39178,megawatthours
2024-12-24T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39109,megawatthours
2024-12-24T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39664,megawatthours
2024-12-24T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40624,megawatthours
2024-12-24T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42008,megawatthours
2024-12-24T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43649,megawatthours
2024-12-24T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45210,megawatthours
2024-12-24T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46752,megawatthours
2024-12-24T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47658,megawatthours
2024-12-24T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48511,megawatthours
2024-12-24T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48994,megawatthours
2024-12-24T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48399,megawatthours
2024-12-23T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47651,megawatthours
2024-12-23T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47397,megawatthours
2024-12-23T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47429,megawatthours
2024-12-23T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47629,megawatthours
2024-12-23T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47615,megawatthours
2024-12-23T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47615,megawatthours
2024-12-23T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47681,megawatthours
2024-12-23T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47368,megawatthours
2024-12-23T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46911,megawatthours
2024-12-23T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46117,megawatthours
2024-12-23T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44830,megawatthours
2024-12-23T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43018,megawatthours
2024-12-23T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41726,megawatthours
2024-12-23T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41190,megawatthours
2024-12-23T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41362,megawatthours
2024-12-23T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42014,megawatthours
2024-12-23T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42947,megawatthours
2024-12-23T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44505,megawatthours
2024-12-23T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46102,megawatthours
2024-12-23T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47420,megawatthours
2024-12-23T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48066,megawatthours
2024-12-23T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48443,megawatthours
2024-12-23T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48576,megawatthours
2024-12-23T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47162,megawatthours
2024-12-22T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45769,megawatthours
2024-12-22T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45480,megawatthours
2024-12-22T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45382,megawatthours
2024-12-22T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45578,megawatthours
2024-12-22T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46333,megawatthours
2024-12-22T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47673,megawatthours
2024-12-22T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48850,megawatthours
